"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"12035","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12034"
"12036","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12035"
"12037","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12036"
"12038","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12037"
"12039","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12038"
"12040","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12039"
"12041","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12040"
"12042","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12041"
"12043","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12042"
"12044","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12043"
"12045","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12044"
"12046","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12045"
"12047","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12046"
"12048","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12047"
"12049","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12048"
"12050","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12049"
"12051","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12050"
"12052","Hylaeus annularis",39.354715,3.001901,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Salobrar de Campos",NA,"55_Gbif_12051"
"12053","Colletes acutus",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12052"
"12054","Colletes acutus",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12053"
"12055","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12054"
"12056","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12055"
"12057","Hylaeus gredleri",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12056"
"12058","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12057"
"12059","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12058"
"12060","Hylaeus crassanus",39.354715,3.001901,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Ses Salines de Campos",NA,"55_Gbif_12059"
"12061","Hylaeus sulphuripes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12060"
"12062","Hylaeus gredleri",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12061"
"12063","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12062"
"12064","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12063"
"12065","Hylaeus pictipes",38.862115,1.359541,"Colletidae",2016,NA,NA,NA,NA,NA,"Eivissa","Platja des Codolar",NA,"55_Gbif_12064"
"12066","Hylaeus taeniolatus",39.6134,2.8793,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Mon Real",NA,"55_Gbif_12065"
"12067","Hylaeus taeniolatus",39.950588,4.0449,"Colletidae",2016,NA,NA,NA,NA,NA,"Menorca","Cap Cavarells",NA,"55_Gbif_12066"
"12068","Hylaeus taeniolatus",39.6134,2.8793,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Mon Real",NA,"55_Gbif_12067"
"12069","Hylaeus taeniolatus",39.6134,2.8793,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Mon Real",NA,"55_Gbif_12068"
"12070","Hylaeus taeniolatus",39.6134,2.8793,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Mon Real",NA,"55_Gbif_12069"
"12071","Hylaeus annularis",39.354715,3.001901,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Ses Salines de Campos",NA,"55_Gbif_12070"
"12072","Hylaeus annularis",39.354715,3.001901,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Ses Salines de Campos",NA,"55_Gbif_12071"
"12073","Hylaeus imparilis",39.354715,3.001901,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Ses Salines de Campos",NA,"55_Gbif_12072"
"12074","Hylaeus euryscapus",39.349505,3.187924,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Cala Mondragó",NA,"55_Gbif_12073"
"12077","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12076"
"12078","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12077"
"12080","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12079"
"12082","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12081"
"12083","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12082"
"12084","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12083"
"12085","Hylaeus pictus",39.774475,3.129261,"Colletidae",2016,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12084"
"12086","Hylaeus sulphuripes",36.982286,-3.119325,"Colletidae",2015,8,10,"Simon Oliver","Simon Oliver",NA,"Andalucía",NA,NA,"55_Gbif_12085"
"12087","Colletes hylaeiformis",36.980708,-3.125413,"Colletidae",2015,8,2,"Simon Oliver","Simon Oliver","MALE","Andalucía",NA,NA,"55_Gbif_12086"
"12088","Hylaeus pictus",36.980118,-3.118217,"Colletidae",2015,10,1,"Simon Oliver","Simon Oliver","MALE","Andalucía",NA,NA,"55_Gbif_12087"
"12089","Hylaeus punctatus",39.852554,4.168248,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Es Canutells",NA,"55_Gbif_12088"
"12090","Colletes abeillei",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12089"
"12091","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12090"
"12092","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12091"
"12093","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12092"
"12094","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12093"
"12095","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12094"
"12096","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12095"
"12097","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12096"
"12098","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12097"
"12099","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12098"
"12100","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12099"
"12101","Colletes albomaculatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12100"
"12102","Colletes albomaculatus",39.97101,4.238775,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Albufera des Grau",NA,"55_Gbif_12101"
"12103","Colletes albomaculatus",39.906996,4.071319,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Son Bou",NA,"55_Gbif_12102"
"12104","Hylaeus trinotatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12103"
"12105","Hylaeus clypearis",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12104"
"12106","Hylaeus punctatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12105"
"12107","Hylaeus spilotus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12106"
"12108","Hylaeus punctatus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12107"
"12109","Hylaeus punctatus",39.852554,4.168248,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Es Canutells",NA,"55_Gbif_12108"
"12110","Hylaeus pictipes",39.97101,4.238775,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Albufera des Grau",NA,"55_Gbif_12109"
"12111","Hylaeus punctatus",39.832804,4.22251,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Binissafúller",NA,"55_Gbif_12110"
"12112","Hylaeus pictus",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12111"
"12113","Hylaeus punctatus",39.832804,4.22251,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Binissafúller",NA,"55_Gbif_12112"
"12114","Hylaeus punctatus",39.832804,4.22251,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Binissafúller",NA,"55_Gbif_12113"
"12115","Hylaeus clypearis",39.852554,4.168248,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Es Canutells",NA,"55_Gbif_12114"
"12116","Hylaeus clypearis",40.042494,4.10436,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala Tirant",NA,"55_Gbif_12115"
"12117","Hylaeus clypearis",39.832804,4.22251,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Binissafúller",NA,"55_Gbif_12116"
"12118","Hylaeus clypearis",39.832804,4.22251,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Binissafúller",NA,"55_Gbif_12117"
"12119","Hylaeus imparilis",39.873036,4.135304,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Cala en Porter",NA,"55_Gbif_12118"
"12120","Hylaeus taeniolatus",39.97101,4.238775,"Colletidae",2015,NA,NA,NA,NA,NA,"Menorca","Albufera des Grau",NA,"55_Gbif_12119"
"12122","Colletes hylaeiformis",36.978305,-3.128643,"Colletidae",2014,7,27,"Simon Oliver","Simon Oliver","FEMALE","Andalucía",NA,NA,"55_Gbif_12121"
"12123","Hylaeus sulphuripes",36.982284,-3.119323,"Colletidae",2014,10,11,"Simon Oliver","Simon Oliver","MALE","Andalucía",NA,NA,"55_Gbif_12122"
"12124","Hylaeus sulphuripes",36.982277,-3.11933,"Colletidae",2014,10,31,"Simon Oliver","Simon Oliver","FEMALE","Andalucía",NA,NA,"55_Gbif_12123"
"12127","Hylaeus taeniolatus",39.91782,3.085666,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Bóquer",NA,"55_Gbif_12126"
"12128","Hylaeus taeniolatus",39.91782,3.085666,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Bóquer",NA,"55_Gbif_12127"
"12129","Hylaeus clypearis",39.91782,3.085666,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Bóquer",NA,"55_Gbif_12128"
"12130","Hylaeus clypearis",39.91782,3.085666,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Bóquer",NA,"55_Gbif_12129"
"12131","Hylaeus annularis",39.791154,3.118113,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Ses Puntes",NA,"55_Gbif_12130"
"12132","Hylaeus clypearis",39.789444,3.09669,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Es Comés d'Abaix",NA,"55_Gbif_12131"
"12133","Hylaeus clypearis",39.789444,3.09669,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Es Comés d'Abaix",NA,"55_Gbif_12132"
"12134","Hylaeus clypearis",39.789444,3.09669,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Es Comés d'Abaix",NA,"55_Gbif_12133"
"12135","Hylaeus clypearis",39.789444,3.09669,"Colletidae",2014,NA,NA,NA,NA,NA,"Mallorca","Es Comés d'Abaix",NA,"55_Gbif_12134"
"12136","Hylaeus variegatus",42.86,-1.81,"Colletidae",2013,9,15,NA,NA,NA,NA,"Spain - Iza",NA,"55_Gbif_12135"
"12138","Colletes fodiens",42.524,-8.638,"Colletidae",2012,9,19,"A.I. Gravel",NA,NA,NA,NA,NA,"55_Gbif_12137"
"12139","Colletes abeillei",39.537415,2.44801,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Peguera",NA,"55_Gbif_12138"
"12140","Colletes abeillei",39.662,2.5929,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Esporles",NA,"55_Gbif_12139"
"12141","Colletes abeillei",39.742645,3.430195,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12140"
"12142","Colletes abeillei",39.791154,3.118113,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Ses Puntes",NA,"55_Gbif_12141"
"12143","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12142"
"12144","Colletes dusmeti",39.791154,3.118113,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Ses Puntes",NA,"55_Gbif_12143"
"12145","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12144"
"12146","Hylaeus clypearis",39.8896,3.0005,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Pollença",NA,"55_Gbif_12145"
"12147","Hylaeus punctatus",39.6316,2.5191,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Puigpunyent",NA,"55_Gbif_12146"
"12148","Hylaeus variegatus",39.6134,2.8793,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Paguera, Andratx",NA,"55_Gbif_12147"
"12149","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12148"
"12150","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12149"
"12151","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12150"
"12152","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12151"
"12153","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12152"
"12154","Hylaeus clypearis",39.8896,3.0005,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Pollença",NA,"55_Gbif_12153"
"12155","Hylaeus clypearis",39.78418,2.788864,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cúber",NA,"55_Gbif_12154"
"12156","Hylaeus clypearis",39.78418,2.788864,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cúber",NA,"55_Gbif_12155"
"12157","Hylaeus clypearis",39.78418,2.788864,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Cúber",NA,"55_Gbif_12156"
"12158","Hylaeus clypearis",39.8896,3.0005,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Pollença",NA,"55_Gbif_12157"
"12159","Hylaeus clypearis",39.8896,3.0005,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Pollença",NA,"55_Gbif_12158"
"12160","Hylaeus clypearis",39.662,2.5929,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Esporles",NA,"55_Gbif_12159"
"12161","Hylaeus clypearis",39.609674,2.505659,"Colletidae",2012,NA,NA,NA,NA,NA,"Mallorca","Galilea",NA,"55_Gbif_12160"
"12163","Hylaeus variegatus",39.8,-0.89,"Colletidae",2011,7,NA,"C. Ornosa (U. C. Madrid)","C. Ornosa (U. C. Madrid)",NA,"Valencia",NA,NA,"55_Gbif_12162"
"12164","Colletes fodiens",39.31,-1.04,"Colletidae",2011,7,NA,"C. Ornosa (U. C. Madrid)","C. Ornosa (U. C. Madrid)",NA,"Valencia",NA,NA,"55_Gbif_12163"
"12165","Colletes nigricans",39.35,-1.05,"Colletidae",2011,7,NA,"C. Ornosa (U. C. Madrid)","C. Ornosa (U. C. Madrid)",NA,"Valencia",NA,NA,"55_Gbif_12164"
"12166","Hylaeus pictus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12165"
"12167","Hylaeus signatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12166"
"12168","Hylaeus variegatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12167"
"12169","Hylaeus signatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12168"
"12170","Hylaeus spilotus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12169"
"12171","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12170"
"12172","Hylaeus variegatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12171"
"12173","Hylaeus pictus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12172"
"12174","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12173"
"12175","Hylaeus clypearis",39.7981,2.7771,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_12174"
"12176","Hylaeus clypearis",39.7981,2.7771,"Colletidae",2011,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"55_Gbif_12175"
"12178","Colletes acutus",36.344002,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"- 23 km S Cadiz, Chiclana",NA,"55_Gbif_12177"
"12179","Colletes acutus",36.344002,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"- 23 km S Cadiz, Chiclana",NA,"55_Gbif_12178"
"12180","Colletes acutus",37.301998,-6.26,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"- 25 km SWW Sevilla, Aznalcazar",NA,"55_Gbif_12179"
"12181","Colletes acutus",36.344002,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"- 23 km S Cadiz, Chiclana",NA,"55_Gbif_12180"
"12182","Colletes acutus",36.344,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger","FEMALE","Andalusia",NA,NA,"55_Gbif_12181"
"12183","Colletes acutus",36.344,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger","MALE","Andalusia",NA,NA,"55_Gbif_12182"
"12184","Colletes acutus",36.344,-6.162,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger","MALE","Andalusia",NA,NA,"55_Gbif_12183"
"12185","Colletes acutus",37.302,-6.26,"Colletidae",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger","FEMALE","Andalusia",NA,NA,"55_Gbif_12184"
"12186","Hylaeus pictipes",36.744999,-3.517,"Colletidae",2010,9,19,"K. Rezkova, O. Cerny","Jakub Straka",NA,NA,"- Embaranco de Beznar, Motril env.",NA,"55_Gbif_12185"
"12187","Hylaeus pictipes",36.745,-3.517,"Colletidae",2010,9,19,"K. Rezkova, O. Cerny","Jakub Straka","FEMALE","Andalusia","Embaranco de Beznar, Motril env.",NA,"55_Gbif_12186"
"12188","Hylaeus pictipes",36.740002,-3.52,"Colletidae",2010,9,19,"K. Rezkova, O. Cerny","Jakub Straka",NA,NA,"Andalusia, Embaranco de Beznar, Motril env.",NA,"55_Gbif_12187"
"12189","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12188"
"12190","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12189"
"12191","Colletes abeillei",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12190"
"12192","Hylaeus annularis",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12191"
"12193","Colletes albomaculatus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12192"
"12194","Colletes albomaculatus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12193"
"12195","Hylaeus pictus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12194"
"12196","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12195"
"12197","Hylaeus pictus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12196"
"12198","Hylaeus pictus",39.774475,3.129261,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12197"
"12199","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12198"
"12200","Hylaeus taeniolatus",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12199"
"12201","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12200"
"12202","Colletes abeillei",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12201"
"12203","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12202"
"12204","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12203"
"12207","Colletes abeillei",39.742645,3.430195,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12206"
"12208","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12207"
"12209","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12208"
"12210","Hylaeus variegatus",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12209"
"12211","Hylaeus taeniolatus",39.742645,3.430195,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12210"
"12212","Hylaeus clypearis",39.742645,3.430195,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"55_Gbif_12211"
"12213","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12212"
"12214","Hylaeus clypearis",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12213"
"12215","Colletes abeillei",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12214"
"12216","Hylaeus signatus",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12215"
"12217","Hylaeus trinotatus",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12216"
"12218","Hylaeus pictus",39.774475,3.129261,"Colletidae",2009,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"55_Gbif_12217"
