"";"X";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"563";NA;"Hylaeus ater";NA;NA;NA;"Remove";NA;"Canary Islands only"
"564";NA;"Hylaeus bisinuatus";NA;NA;NA;"Hylaeus leptocephalus";NA;"synonym"
"565";NA;"Hylaeus canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"566";NA;"Hylaeus congruens";NA;NA;NA;"Hylaus imparilis";NA;"synonym"
"567";NA;"Hylaeus gredieri";NA;NA;NA;"Hylaeus gredleri";NA;"Typo"
"568";NA;"Hylaeus hohmanni";NA;NA;NA;"Remove";NA;"Canary Islands only"
"569";NA;"Hylaeus imparallis";NA;NA;NA;"Hylaus imparilis";NA;"Typo"
"570";NA;"Hylaeus lineopatus";NA;NA;NA;"Hylaeus lineolatus";NA;"Typo"
"571";NA;"Hylaeus maderensis";NA;NA;NA;"Remove";NA;"Madeira only"
"572";NA;"Icteranthidium ghromanni";NA;NA;NA;"Icteranthidium grohmanni";NA;"Typo"
"573";NA;"Lasioglossum atrovirens";NA;NA;NA;"Lasioglossum albovirens";NA;"Typo"
"574";NA;"Lasioglossum capitalis";NA;NA;NA;"Lasioglossum capitale";NA;"Typo"
"575";NA;"Lasioglossum consobrinus";NA;NA;NA;"Remove";NA;"Delete for now - could be Halictus consobrinus that is a confused taxon, probably restricted to North Africa"
"576";NA;"Lasioglossum discus";NA;NA;NA;"Lasioglossum discum";NA;"Typo"
"577";NA;"Lasioglossum evylaeus";NA;NA;NA;"Remove";NA;"Delete - (Evylaeus) is an old subgenus, therefore this record has no determination"
"578";NA;"Lasioglossum flavipes";NA;NA;NA;"Remove";NA;"Not a West Palearctic species, clearly a mistake, delete"
"579";NA;"Lasioglossum leptocephalum";NA;NA;NA;"Remove";NA;"Not in Iberia - delete, could be several closely related Iberian species"
"580";NA;"Lasioglossum lissonotus";NA;NA;NA;"Lasioglossum lissonotum";NA;"Typo"
"581";NA;"Lasioglossum loetum";NA;NA;NA;"Remove";NA;"Canary Islands only"
"582";NA;"Lasioglossum malachorum";NA;NA;NA;"Lasioglossum malachurum";NA;"Typo"
"583";NA;"Lasioglossum mediterraneaum";NA;NA;NA;"Lasioglossum mediterraneum";NA;"Typo"
"584";NA;"Lasioglossum minutisimum";NA;NA;NA;"Lasioglossum minutissimum";NA;"Typo"
"585";NA;"Lasioglossum minutissima";NA;NA;NA;"Lasioglossum minutissimum";NA;"Typo"
"586";NA;"Lasioglossum minutum";NA;NA;NA;"Remove";NA;"No idea, delete"
"587";NA;"Lasioglossum pilosum";NA;NA;NA;"Remove";NA;"Not a West Palearctic species, clearly a mistake, delete"
"588";NA;"Lasioglossum pygmaeus";NA;NA;NA;"Lasioglossum pygmaeum";NA;"Typo"
"589";NA;"Lasioglossum seratum";NA;NA;NA;"Remove";NA;"No idea, delete"
"590";NA;"Lasioglossum smaragdulus";NA;NA;NA;"Halictus smaragdulus";NA;"equals Seladonia smaragdula"
"591";NA;"Lasioglossum smeathmanellus";NA;NA;NA;"Lasioglossum smeathmanellum";NA;"Typo"
"592";NA;"Lasioglossum titusi";NA;NA;NA;"Remove";NA;"North American species!"
"593";NA;"Lasioglossum transitorius";NA;NA;NA;"Lasioglossum transitorium";"planulum";"All Iberian material is the subspecies planulum"
"594";NA;"Lasioglossum wollastoni";NA;NA;NA;"Remove";NA;NA
"595";NA;"Lasioglossum xantopus";NA;NA;NA;"Lasioglossum xanthopus";NA;"Typo"
"596";NA;"Lasioglossum xathophus";NA;NA;NA;"Lasioglossum xanthopus";NA;"Typo"
"597";NA;"Megachile binominata";NA;NA;NA;"Remove";NA;"Canary Islands only"
"598";NA;"Megachile canariensis";NA;NA;NA;"Remove";NA;"Canary Islands only"
"599";NA;"Megachile cetuncularis";NA;NA;NA;"Megachile centuncularis";NA;"Typo"
"600";NA;"Megachile circucimcta";NA;NA;NA;"Megachile circumcincta";NA;"Typo"
"601";NA;"Megachile retundata";NA;NA;NA;"Megachile rotundata";NA;"Typo"
"602";NA;"Megachilini analis";NA;NA;NA;"Megachile analis";NA;"Typo"
"603";NA;"Nomioides fallax";NA;NA;NA;"Nomioides facilis";NA;"synonym"
"604";NA;"Nomioides minutissima";NA;NA;NA;"Nomioides minutissimus";NA;"Typo"
"605";NA;"Nomioides variegatus";NA;NA;NA;"Ceylalictus variegatus";NA;"Wrong genus"
"606";NA;"Osmia acuticornis";NA;NA;NA;"Hoplitis acuticornis";NA;"Wrong genus"
"607";NA;"Osmia canariensis";NA;NA;NA;"Remove";NA;"There is no Osmia canariensis - possibly Andrena submicans canaria, but I cannot be certain without inspecting material"
"608";NA;"Osmia cinnabarina";NA;NA;NA;"Osmia cinnabarina";NA;"Authority Perez 1895"
"609";NA;"Osmia dimidata";NA;NA;NA;"Osmia dimidiata";NA;"Typo"
"610";NA;"Osmia latreille";NA;NA;NA;"Osmia latreillei";NA;"Typo"
"611";NA;"Osmia latrillei";NA;NA;NA;"Osmia latreillei";NA;"Typo"
"612";NA;"Osmia madeirensis";NA;NA;NA;"Remove";NA;"Madeira only"
"613";NA;"Osmia perambigua";NA;NA;NA;"Remove";NA;"Wrong genus, Canary Islands only: Hoplitis perambigua"
"614";NA;"Osmia uncinata";NA;NA;NA;"Osmia uncincata";NA;"Typo"
"615";NA;"Osmia xanthomelaena";NA;NA;NA;"Osmia xanthomelana";NA;"Typo"
"616";NA;"Osmiini emarginata";NA;NA;NA;"Osmia emarginata";NA;"Typo"
"617";NA;"Panurgus brullei";NA;NA;NA;"Remove";NA;"Typo, check records, P. brullei is restricted to the Canary Islands"
"618";NA;"Paranthidiellum lituratum";NA;NA;NA;"Remove";NA;"Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination"
"619";NA;"Peponapis pruinosa";NA;NA;NA;"Remove";NA;"North American species! Bizarre record"
"620";NA;"Pseudoanthidium liturathum";NA;NA;NA;"Remove";NA;"Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination"
"621";NA;"Reanthidium nigricolle";NA;NA;NA;"Remove";NA;"Delete"
"622";NA;"Rhodanthidium septemdentatun";NA;NA;NA;"Rhodanthidium septemdentatum";NA;"Typo"
"623";NA;"Rhodanthidium septempunctatum";NA;NA;NA;"Remove";NA;"Possibly septemdentatum"
"624";NA;"Sphecodes divisus";NA;NA;NA;"Sphecodes crassus";NA;"synonym"
"625";NA;"Sphecodes marginaturs";NA;NA;NA;"Sphecodes marginatus";NA;"Typo"
"626";NA;"Sphecodes rufierus";NA;NA;NA;"Sphecodes ruficrus";NA;"Possibly Sphecodes ruficrus"
"627";NA;"Stelis murina";NA;NA;NA;"Stelis murina";NA;NA
"628";NA;"Stelis phaeophtera";NA;NA;NA;"Stelis phaeoptera";NA;"Typo"
"629";NA;"Stelis phoenoptera";NA;NA;NA;"Stelis phaeoptera";NA;"Typo"
"630";NA;"Stelis puntulatissima";NA;NA;NA;"Stelis punctulatissima";NA;"Typo"
"631";NA;"Tetraloniella alticincta";NA;NA;NA;"Remove";NA;"Complex, cannot be resolved, Iberian revision necessary"
"632";NA;"Trachusa atlanticum";NA;NA;NA;"Trachusa laeviventris";NA;"synonym"
"633";NA;"Trachusa integra";NA;NA;NA;"Remove";NA;"Not present in Iberia, delete"
"634";NA;"Trianthidium caturigense";NA;NA;NA;"Rhodanthidium caturigense";NA;"Wrong genus"
"635";NA;"Vestitohalictus pollinosus";NA;NA;NA;"Halictus pollinosus";NA;"Wrong genus"
"636";NA;"Vestitohalictus vestitus";NA;NA;NA;"Halictus vestitus";NA;"Wrong genus"
"637";NA;"Xylocopa fenestrata";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"638";NA;"Xylocopa fimbriata";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"639";NA;"Xylocopa latipes";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
"640";NA;"Xylocopa virginica";NA;NA;NA;"Remove";NA;"Delete, clearly misidentified"
