"";"X.X.flag.checked.synonym_names.questionable.accepted_name.accepted_subspecies.Notes";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"396";"396;396;Eucera maroccana;NA;NA;NA;Remove;NA;Status in Iberia unclear, exclude for now";NA;NA;NA;NA;NA;NA;NA
"397";"397;397;Eucera nigrencens;NA;NA;NA;Eucera nigrescens;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"398";"398;398;Halictus asperellus;NA;NA;NA;Remove;NA;Not present in Iberia, delete";NA;NA;NA;NA;NA;NA;NA
"399";"399;399;Halictus cremicornis;NA;NA;NA;Halictus crenicornis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"400";"400;400;Halictus frontalis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"401";"401;401;Halictus gemmea;NA;NA;NA;Halictus gemellus;NA;equals Seladonia gemmella";NA;NA;NA;NA;NA;NA;NA
"402";"402;402;Halictus gemmella;NA;NA;NA;Halictus gemellus;NA;equals Seladonia gemmella";NA;NA;NA;NA;NA;NA;NA
"403";"403;403;Halictus pauxillum;NA;NA;NA;Lasioglossum pauxillum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"404";"404;404;Halictus sacabiosae;NA;NA;NA;Halictus scabiosae;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"405";"405;405;Halictus seladonia;NA;NA;NA;Halictus seladonius;NA;equals Seladonia seladonia";NA;NA;NA;NA;NA;NA;NA
"406";"406;406;Halictus similar;NA;NA;NA;Remove;NA;No idea, clearly a typo but I don't know what the name was supposed to be";NA;NA;NA;NA;NA;NA;NA
"407";"407;407;Halictus subaurata;NA;NA;NA;Halictus subauratus;NA;equals Seladonia subaurata";NA;NA;NA;NA;NA;NA;NA
"408";"408;408;Halictus submediterranea;NA;NA;NA;Halictus submediterraneus;NA;equals Seladonia submediterranea";NA;NA;NA;NA;NA;NA;NA
"409";"409;409;Hoplitis cristata;NA;NA;NA;Hoplitis cristata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"410";"410;410;Hylaeus ater;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"411";"411;411;Hylaeus bisinuatus;NA;NA;NA;Hylaeus leptocephalus;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"412";"412;412;Hylaeus canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"413";"413;413;Hylaeus congruens;NA;NA;NA;Hylaus imparilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"414";"414;414;Hylaeus gredieri;NA;NA;NA;Hylaeus gredleri;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"415";"415;415;Hylaeus hohmanni;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"416";"416;416;Hylaeus imparallis;NA;NA;NA;Hylaus imparilis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"417";"417;417;Hylaeus lineopatus;NA;NA;NA;Hylaeus lineolatus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"418";"418;418;Hylaeus maderensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"419";"419;419;Icteranthidium ghromanni;NA;NA;NA;Icteranthidium grohmanni;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"420";"420;420;Lasioglossum atrovirens;NA;NA;NA;Lasioglossum albovirens;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"421";"421;421;Lasioglossum capitalis;NA;NA;NA;Lasioglossum capitale;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"422";"422;422;Lasioglossum consobrinus;NA;NA;NA;Remove;NA;Delete for now - could be Halictus consobrinus that is a confused taxon, probably restricted to North Africa";NA;NA;NA;NA;NA;NA;NA
"423";"423;423;Lasioglossum discus;NA;NA;NA;Lasioglossum discum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"424";"424;424;Lasioglossum evylaeus;NA;NA;NA;Remove;NA;Delete - (Evylaeus) is an old subgenus, therefore this record has no determination";NA;NA;NA;NA;NA;NA;NA
"425";"425;425;Lasioglossum flavipes;NA;NA;NA;Remove;NA;Not a West Palearctic species, clearly a mistake, delete";NA;NA;NA;NA;NA;NA;NA
"426";"426;426;Lasioglossum leptocephalum;NA;NA;NA;Remove;NA;Not in Iberia - delete, could be several closely related Iberian species";NA;NA;NA;NA;NA;NA;NA
"427";"427;427;Lasioglossum lissonotus;NA;NA;NA;Lasioglossum lissonotum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"428";"428;428;Lasioglossum loetum;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"429";"429;429;Lasioglossum malachorum;NA;NA;NA;Lasioglossum malachurum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"430";"430;430;Lasioglossum mediterraneaum;NA;NA;NA;Lasioglossum mediterraneum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"431";"431;431;Lasioglossum minutisimum;NA;NA;NA;Lasioglossum minutissimum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"432";"432;432;Lasioglossum minutissima;NA;NA;NA;Lasioglossum minutissimum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"433";"433;433;Lasioglossum minutum;NA;NA;NA;Remove;NA;No idea, delete";NA;NA;NA;NA;NA;NA;NA
"434";"434;434;Lasioglossum pilosum;NA;NA;NA;Remove;NA;Not a West Palearctic species, clearly a mistake, delete";NA;NA;NA;NA;NA;NA;NA
"435";"435;435;Lasioglossum pygmaeus;NA;NA;NA;Lasioglossum pygmaeum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"436";"436;436;Lasioglossum seratum;NA;NA;NA;Remove;NA;No idea, delete";NA;NA;NA;NA;NA;NA;NA
"437";"437;437;Lasioglossum smaragdulus;NA;NA;NA;Halictus smaragdulus;NA;equals Seladonia smaragdula";NA;NA;NA;NA;NA;NA;NA
"438";"438;438;Lasioglossum smeathmanellus;NA;NA;NA;Lasioglossum smeathmanellum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"439";"439;439;Lasioglossum titusi;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"440";"440;440;Lasioglossum transitorius;NA;NA;NA;Lasioglossum transitorium;planulum;All Iberian material is the subspecies planulum";NA;NA;NA;NA;NA;NA;NA
"441";"441;441;Lasioglossum wollastoni;NA;NA;NA;Remove;NA;NA";NA;NA;NA;NA;NA;NA;NA
"442";"442;442;Lasioglossum xantopus;NA;NA;NA;Lasioglossum xanthopus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"443";"443;443;Lasioglossum xathophus;NA;NA;NA;Lasioglossum xanthopus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"444";"444;444;Megachile binominata;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"445";"445;445;Megachile canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"446";"446;446;Megachile cetuncularis;NA;NA;NA;Megachile centuncularis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"447";"447;447;Megachile circucimcta;NA;NA;NA;Megachile circumcincta;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"448";"448;448;Megachile retundata;NA;NA;NA;Megachile rotundata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"449";"449;449;Megachilini analis;NA;NA;NA;Megachile analis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"450";"450;450;Nomioides fallax;NA;NA;NA;Nomioides facilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"451";"451;451;Nomioides minutissima;NA;NA;NA;Nomioides minutissimus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"452";"452;452;Nomioides variegatus;NA;NA;NA;Ceylalictus variegatus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"453";"453;453;Osmia acuticornis;NA;NA;NA;Hoplitis acuticornis;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"454";"454;454;Osmia canariensis;NA;NA;NA;Remove;NA;There is no Osmia canariensis - possibly Andrena submicans canaria, but I cannot be certain without inspecting material";NA;NA;NA;NA;NA;NA;NA
"455";"455;455;Osmia cinnabarina;NA;NA;NA;Osmia cinnabarina;NA;Authority Perez 1895";NA;NA;NA;NA;NA;NA;NA
"456";"456;456;Osmia dimidata;NA;NA;NA;Osmia dimidiata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"457";"457;457;Osmia latreille;NA;NA;NA;Osmia latreillei;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"458";"458;458;Osmia latrillei;NA;NA;NA;Osmia latreillei;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"459";"459;459;Osmia madeirensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"460";"460;460;Osmia perambigua;NA;NA;NA;Remove;NA;Wrong genus, Canary Islands only: Hoplitis perambigua";NA;NA;NA;NA;NA;NA;NA
"461";"461;461;Osmia uncinata;NA;NA;NA;Osmia uncincata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"462";"462;462;Osmia xanthomelaena;NA;NA;NA;Osmia xanthomelana;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"463";"463;463;Osmiini emarginata;NA;NA;NA;Osmia emarginata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"464";"464;464;Panurgus brullei;NA;NA;NA;Remove;NA;Typo, check records, P. brullei is restricted to the Canary Islands";NA;NA;NA;NA;NA;NA;NA
"465";"465;465;Paranthidiellum lituratum;NA;NA;NA;Remove;NA;Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination";NA;NA;NA;NA;NA;NA;NA
"466";"466;466;Peponapis pruinosa;NA;NA;NA;Remove;NA;North American species! Bizarre record";NA;NA;NA;NA;NA;NA;NA
"467";"467;467;Pseudoanthidium liturathum;NA;NA;NA;Remove;NA;Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination";NA;NA;NA;NA;NA;NA;NA
"468";"468;468;Reanthidium nigricolle;NA;NA;NA;Remove;NA;Delete";NA;NA;NA;NA;NA;NA;NA
"469";"469;469;Rhodanthidium septemdentatun;NA;NA;NA;Rhodanthidium septemdentatum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"470";"470;470;Rhodanthidium septempunctatum;NA;NA;NA;Remove;NA;Possibly septemdentatum";NA;NA;NA;NA;NA;NA;NA
"471";"471;471;Sphecodes divisus;NA;NA;NA;Sphecodes crassus;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"472";"472;472;Sphecodes marginaturs;NA;NA;NA;Sphecodes marginatus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"473";"473;473;Sphecodes rufierus;NA;NA;NA;Sphecodes ruficrus;NA;Possibly Sphecodes ruficrus";NA;NA;NA;NA;NA;NA;NA
"474";"474;474;Stelis murina;NA;NA;NA;Stelis murina;NA;NA";NA;NA;NA;NA;NA;NA;NA
"475";"475;475;Stelis phaeophtera;NA;NA;NA;Stelis phaeoptera;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"476";"476;476;Stelis phoenoptera;NA;NA;NA;Stelis phaeoptera;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"477";"477;477;Stelis puntulatissima;NA;NA;NA;Stelis punctulatissima;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"478";"478;478;Tetraloniella alticincta;NA;NA;NA;Remove;NA;Complex, cannot be resolved, Iberian revision necessary";NA;NA;NA;NA;NA;NA;NA
"479";"479;479;Trachusa atlanticum;NA;NA;NA;Trachusa laeviventris;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"480";"480;480;Trachusa integra;NA;NA;NA;Remove;NA;Not present in Iberia, delete";NA;NA;NA;NA;NA;NA;NA
"481";"481;481;Trianthidium caturigense;NA;NA;NA;Rhodanthidium caturigense;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"482";"482;482;Vestitohalictus pollinosus;NA;NA;NA;Halictus pollinosus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"483";"483;483;Vestitohalictus vestitus;NA;NA;NA;Halictus vestitus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"484";"484;484;Xylocopa fenestrata;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"485";"485;485;Xylocopa fimbriata;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"486";"486;486;Xylocopa latipes;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"487";"487;487;Xylocopa virginica;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"488";"488;NA;Afranthidium malacopygum;NA;NA;NA;Afranthidium carduele;malacopygum;NA";NA;NA;NA;NA;NA;NA;NA
"489";"489;NA;Amegilla albifrons;NA;NA;NA;Remove;NA;NA";NA;NA;NA;NA;NA;NA;NA
"490";"490;NA;Andrena albupunctata;NA;NA;NA;Andrena albopunctata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"491";"491;NA;Andrena armata;NA;NA;NA;Andrena fulva;NA;old synonym";NA;NA;NA;NA;NA;NA;NA
"492";"492;NA;Andrena benoisti;NA;NA;NA;Andrena benoisti;NA;newly described, Spain and Portugal. Authority Wood & Praz, 2021";NA;NA;NA;NA;NA;NA;NA
"493";"493;NA;Andrena coitana;NA;NA;NA;Andrena coitana;NA;This is a good species, present in Iberia";NA;NA;NA;NA;NA;NA;NA
"494";"494;NA;Andrena dourada;NA;NA;NA;Remove;NA;newly descibed, Madeira only";NA;NA;NA;NA;NA;NA;NA
"495";"495;NA;Andrena dunningi;NA;NA;NA;Remove;NA;This is a North American species, delete";NA;NA;NA;NA;NA;NA;NA
"496";"496;NA;Andrena flava;NA;NA;NA;Remove;NA;There is no Andrena flava, must be a genus + species error";NA;NA;NA;NA;NA;NA;NA
"497";"497;NA;Andrena fortipunctata;NA;NA;NA;Andrena fortipunctata;NA;newly described, Spain. authority Wood, 2021";NA;NA;NA;NA;NA;NA;NA
"498";"498;NA;Andrena gallica;NA;Andrena assimilis;NA;Andrena assimilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"499";"499;NA;Andrena hispanica;NA;NA;NA;Andrena hispania;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"500";"500;NA;Andrena juliana;NA;NA;NA;Andrena juliana;NA;newly described, Spain and Portugal. Authority Wood, 2021";NA;NA;NA;NA;NA;NA;NA
"501";"501;NA;Andrena levante;NA;NA;NA;Andrena levante;NA;newly described, Spain. authority Wood & Praz, 2021";NA;NA;NA;NA;NA;NA;NA
"502";"502;NA;Andrena maderiensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"503";"503;NA;Andrena minuta;NA;NA;NA;Andrena minutula;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"504";"504;NA;Andrena numida;NA;NA;NA;Andrena hypopolia;NA;hypopolia is probably a synonym of A. numida, but keep all Iberian data under hypopolia for now";NA;NA;NA;NA;NA;NA;NA
"505";"505;NA;Andrena ocreata;NA;Andrena similis;NA;Andrena similis;NA;NB all similis data needs to be synonymised under Andrena russula Lepeletier, 1841 at some point, this paper is in review";NA;NA;NA;NA;NA;NA;NA
"506";"506;NA;Andrena ornata;NA;NA;NA;Remove;NA;Eastern species - never recorded from Iberia";NA;NA;NA;NA;NA;NA;NA
"507";"507;NA;Andrena orotavensis;NA;NA;NA;Remove;NA;Does not exist - no idea!";NA;NA;NA;NA;NA;NA;NA
"508";"508;NA;Andrena parvula;NA;Andrena minutula;NA;Andrena minutula;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"509";"509;NA;Andrena quadrimaculata;NA;NA;NA;Remove;NA;Eastern species - never recorded from Iberia";NA;NA;NA;NA;NA;NA;NA
"510";"510;NA;Andrena strohmella;NA;NA;NA;Remove;NA;Taxonomic+ecological issues, difference from A. icterina Warncke unclear, I cannot resolve this issue without specimens";NA;NA;NA;NA;NA;NA;NA
"511";"511;NA;Andrena taraxaci;NA;NA;NA;Remove;NA;Species complex, true taraxaci not present in Iberia, could be one of several species";NA;NA;NA;NA;NA;NA;NA
"512";"512;NA;Andrena ternuistriata;NA;NA;NA;Andrena tenuistriata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"513";"513;NA;Anthidium blongatum;NA;NA;NA;Anthidium oblongatum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"514";"514;NA;Anthidium canariensis;NA;NA;NA;Remove;NA;Canary Islands only, exclude";NA;NA;NA;NA;NA;NA;NA
"515";"515;NA;Anthidium florentimun;NA;NA;NA;Anthidium florentinum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"516";"516;NA;Anthidium latreillei;NA;NA;NA;Remove;NA;Could possibly be Icteranthidium laterale, but this is too much of a jump to make without examining the specimen";NA;NA;NA;NA;NA;NA;NA
"517";"517;NA;Anthidium stictium;NA;NA;NA;Rhodanthidium sticticum;NA;I assume that both the genus and the spelling of the specific name is incorrect";NA;NA;NA;NA;NA;NA;NA
"518";"518;NA;Anthidium trematum;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"519";"519;NA;Anthidium variegatum;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"520";"520;NA;Anthophora californica;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"521";"521;NA;Anthophora hispanicus;NA;NA;NA;Anthophora hispanica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"522";"522;NA;Anthophora liefrincki;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"523";"523;NA;Anthophora nigrocincta;NA;NA;NA;Anthophora canescens;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"524";"524;NA;Anthophora toracica;NA;NA;NA;Remove;NA;No idea! Delete";NA;NA;NA;NA;NA;NA;NA
"525";"525;NA;Bombus argillaceus;NA;NA;NA;Remove;NA;argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus";NA;NA;NA;NA;NA;NA;NA
"526";"526;NA;Bombus canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"527";"527;NA;Bombus cryptarum;NA;NA;NA;Remove;NA;Good species, but B. cryptarum does not occur in Iberia";NA;NA;NA;NA;NA;NA;NA
"528";"528;NA;Bombus montincola;NA;NA;NA;Bombus monticola;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"529";"529;NA;Bombus subterraneous;NA;NA;NA;Bombus subterraneus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"530";"530;NA;Bombus terrestri;NA;NA;NA;Bombus terrestris;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"531";"531;NA;Bombus wuerflenii;NA;NA;NA;Bombus wurflenii;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"532";"532;NA;Bombus wurfleinii;NA;NA;NA;Bombus wurflenii;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"533";"533;NA;Ceratina calybea;NA;NA;NA;Ceratina chalybea;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"534";"534;NA;Ceratina curcubitina;NA;NA;NA;Ceratina cucurbitina;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"535";"535;NA;Coelioxys auroliubata;NA;NA;NA;Coelioxys aurolimbata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"536";"536;NA;Colletes africana;NA;NA;NA;Remove;NA;Not an Iberian species";NA;NA;NA;NA;NA;NA;NA
"537";"537;NA;Colletes albescens;NA;NA;NA;Remove;NA;Not an Iberian species";NA;NA;NA;NA;NA;NA;NA
"538";"538;NA;Colletes dimidiatus;NA;NA;NA;Colletes dimidiatus;NA;Endemic to Spain";NA;NA;NA;NA;NA;NA;NA
"539";"539;NA;Colletes jansmiti;NA;NA;NA;Colletes jansmiti;NA;Newly described";NA;NA;NA;NA;NA;NA;NA
"540";"540;NA;Colletes moricei;NA;NA;NA;Colletes moricei;NA;Good species, endemic to Spain";NA;NA;NA;NA;NA;NA;NA
"541";"541;NA;Colletes perezi;NA;NA;NA;Remove;NA;Does not occur in Iberia";NA;NA;NA;NA;NA;NA;NA
"542";"542;NA;Dioxys cinta;NA;NA;NA;Dioxys cinctus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"543";"543;NA;Dioxys tridentata;NA;NA;NA;Aglaoapis tridentata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"544";"544;NA;Dufourea maura;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"545";"545;NA;Dufourea minta;NA;NA;NA;Remove;NA;Not a species";NA;NA;NA;NA;NA;NA;NA
"546";"546;NA;Eucera berlandi;NA;NA;NA;Eucera rufa;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"547";"547;NA;Eucera gracillipes;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"548";"548;NA;Eucera lanuginosus;NA;NA;NA;Remove;NA;Taxonomic status unclear, exclude";NA;NA;NA;NA;NA;NA;NA
"549";"549;NA;Eucera maroccana;NA;NA;NA;Remove;NA;Status in Iberia unclear, exclude for now";NA;NA;NA;NA;NA;NA;NA
"550";"550;NA;Eucera nigrencens;NA;NA;NA;Eucera nigrescens;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"551";"551;NA;Halictus asperellus;NA;NA;NA;Remove;NA;Not present in Iberia, delete";NA;NA;NA;NA;NA;NA;NA
"552";"552;NA;Halictus cremicornis;NA;NA;NA;Halictus crenicornis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"553";"553;NA;Halictus frontalis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"554";"554;NA;Halictus gemmea;NA;NA;NA;Halictus gemellus;NA;equals Seladonia gemmella";NA;NA;NA;NA;NA;NA;NA
"555";"555;NA;Halictus gemmella;NA;NA;NA;Halictus gemellus;NA;equals Seladonia gemmella";NA;NA;NA;NA;NA;NA;NA
"556";"556;NA;Halictus pauxillum;NA;NA;NA;Lasioglossum pauxillum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"557";"557;NA;Halictus sacabiosae;NA;NA;NA;Halictus scabiosae;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"558";"558;NA;Halictus seladonia;NA;NA;NA;Halictus seladonius;NA;equals Seladonia seladonia";NA;NA;NA;NA;NA;NA;NA
"559";"559;NA;Halictus similar;NA;NA;NA;Remove;NA;No idea, clearly a typo but I don't know what the name was supposed to be";NA;NA;NA;NA;NA;NA;NA
"560";"560;NA;Halictus subaurata;NA;NA;NA;Halictus subauratus;NA;equals Seladonia subaurata";NA;NA;NA;NA;NA;NA;NA
"561";"561;NA;Halictus submediterranea;NA;NA;NA;Halictus submediterraneus;NA;equals Seladonia submediterranea";NA;NA;NA;NA;NA;NA;NA
"562";"562;NA;Hoplitis cristata;NA;NA;NA;Hoplitis cristata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"563";"563;NA;Hylaeus ater;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"564";"564;NA;Hylaeus bisinuatus;NA;NA;NA;Hylaeus leptocephalus;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"565";"565;NA;Hylaeus canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"566";"566;NA;Hylaeus congruens;NA;NA;NA;Hylaus imparilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"567";"567;NA;Hylaeus gredieri;NA;NA;NA;Hylaeus gredleri;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"568";"568;NA;Hylaeus hohmanni;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"569";"569;NA;Hylaeus imparallis;NA;NA;NA;Hylaus imparilis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"570";"570;NA;Hylaeus lineopatus;NA;NA;NA;Hylaeus lineolatus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"571";"571;NA;Hylaeus maderensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"572";"572;NA;Icteranthidium ghromanni;NA;NA;NA;Icteranthidium grohmanni;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"573";"573;NA;Lasioglossum atrovirens;NA;NA;NA;Lasioglossum albovirens;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"574";"574;NA;Lasioglossum capitalis;NA;NA;NA;Lasioglossum capitale;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"575";"575;NA;Lasioglossum consobrinus;NA;NA;NA;Remove;NA;Delete for now - could be Halictus consobrinus that is a confused taxon, probably restricted to North Africa";NA;NA;NA;NA;NA;NA;NA
"576";"576;NA;Lasioglossum discus;NA;NA;NA;Lasioglossum discum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"577";"577;NA;Lasioglossum evylaeus;NA;NA;NA;Remove;NA;Delete - (Evylaeus) is an old subgenus, therefore this record has no determination";NA;NA;NA;NA;NA;NA;NA
"578";"578;NA;Lasioglossum flavipes;NA;NA;NA;Remove;NA;Not a West Palearctic species, clearly a mistake, delete";NA;NA;NA;NA;NA;NA;NA
"579";"579;NA;Lasioglossum leptocephalum;NA;NA;NA;Remove;NA;Not in Iberia - delete, could be several closely related Iberian species";NA;NA;NA;NA;NA;NA;NA
"580";"580;NA;Lasioglossum lissonotus;NA;NA;NA;Lasioglossum lissonotum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"581";"581;NA;Lasioglossum loetum;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"582";"582;NA;Lasioglossum malachorum;NA;NA;NA;Lasioglossum malachurum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"583";"583;NA;Lasioglossum mediterraneaum;NA;NA;NA;Lasioglossum mediterraneum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"584";"584;NA;Lasioglossum minutisimum;NA;NA;NA;Lasioglossum minutissimum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"585";"585;NA;Lasioglossum minutissima;NA;NA;NA;Lasioglossum minutissimum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"586";"586;NA;Lasioglossum minutum;NA;NA;NA;Remove;NA;No idea, delete";NA;NA;NA;NA;NA;NA;NA
"587";"587;NA;Lasioglossum pilosum;NA;NA;NA;Remove;NA;Not a West Palearctic species, clearly a mistake, delete";NA;NA;NA;NA;NA;NA;NA
"588";"588;NA;Lasioglossum pygmaeus;NA;NA;NA;Lasioglossum pygmaeum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"589";"589;NA;Lasioglossum seratum;NA;NA;NA;Remove;NA;No idea, delete";NA;NA;NA;NA;NA;NA;NA
"590";"590;NA;Lasioglossum smaragdulus;NA;NA;NA;Halictus smaragdulus;NA;equals Seladonia smaragdula";NA;NA;NA;NA;NA;NA;NA
"591";"591;NA;Lasioglossum smeathmanellus;NA;NA;NA;Lasioglossum smeathmanellum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"592";"592;NA;Lasioglossum titusi;NA;NA;NA;Remove;NA;North American species!";NA;NA;NA;NA;NA;NA;NA
"593";"593;NA;Lasioglossum transitorius;NA;NA;NA;Lasioglossum transitorium;planulum;All Iberian material is the subspecies planulum";NA;NA;NA;NA;NA;NA;NA
